userId,user_rating_count,user_avg_rating,user_rating_std
1,232,4.3664,0.8
2,29,3.9483,0.8056
3,39,2.4359,2.0906
4,216,3.5556,1.3142
5,44,3.6364,0.9904
6,314,3.4936,0.8506
7,152,3.2303,1.3296
8,47,3.5745,0.9723
9,46,3.2609,1.2725
10,140,3.2786,1.1757
11,64,3.7812,0.9338
12,32,4.3906,0.7266
13,31,3.6452,0.9848
14,48,3.3958,1.026
15,135,3.4481,1.1334
16,98,3.7245,0.552
17,105,4.2095,0.5085
18,502,3.7321,0.6322
19,703,2.6074,0.9273
20,242,3.5909,1.1648
21,443,3.2607,1.0035
22,119,2.5714,1.5436
23,121,3.6488,0.6146
24,110,3.65,0.5399
25,26,4.8077,0.3762
26,21,3.2381,0.6249
27,135,3.5481,1.0631
28,570,3.0202,0.7938
29,81,4.142,0.6857
30,34,4.7353,0.5537
31,50,3.92,1.0069
32,102,3.7549,0.8377
33,156,3.7885,1.0412
34,86,3.4186,1.3566
35,23,4.087,0.9002
36,60,2.6333,0.9909
37,21,4.1429,0.9103
38,78,3.2179,1.0525
39,100,4.0,1.0541
40,103,3.767,1.0404
41,217,3.2535,1.1448
42,440,3.5659,1.063
43,114,4.5526,0.6796
44,48,3.3542,1.1576
45,399,3.8759,0.9766
46,42,4.0,0.8554
47,140,3.0536,0.9758
48,33,4.0303,0.6607
49,21,4.2619,0.2559
50,310,2.7806,0.8468
51,359,3.7758,1.2414
52,130,4.4769,0.6314
53,20,5.0,0.0
54,33,3.0303,0.3941
55,25,2.84,1.7954
56,46,3.8043,0.7186
57,476,3.3929,1.0736
58,112,3.9018,1.0394
59,107,4.3551,0.964
60,22,3.7273,0.7025
61,39,4.0513,0.7052
62,366,4.082,0.7139
63,271,3.631,1.0392
64,517,3.7689,0.7447
65,34,4.0294,0.5357
66,345,4.0203,0.736
67,36,3.9722,0.7923
68,1260,3.2337,0.8967
69,46,4.3696,0.7989
70,62,4.3226,0.6279
71,35,3.6,1.1167
72,45,4.1556,0.5417
73,210,3.7119,1.0126
74,177,4.2712,0.644
75,69,3.2319,1.2735
76,119,3.084,1.2926
77,29,4.0,1.3229
78,61,3.1639,1.1787
79,64,4.2031,0.8578
80,167,4.2605,0.4586
81,26,2.7692,1.1767
82,227,3.3811,0.768
83,118,3.3093,1.2792
84,293,3.6894,0.7602
85,34,3.7059,1.3602
86,70,3.9286,0.5336
87,21,3.9524,0.7731
88,56,4.0357,1.1396
89,518,3.473,1.1928
90,54,4.0741,0.8208
91,575,3.3957,0.9715
92,24,3.9375,0.6479
93,97,4.2887,0.5944
94,56,3.0357,1.0084
95,168,4.0625,0.7989
96,78,3.8846,1.2377
97,36,4.1944,0.8218
98,92,3.913,1.1134
99,53,3.8679,1.2095
100,148,3.9459,0.6755
101,61,3.5574,1.0571
102,56,3.3571,0.7961
103,377,3.9072,0.7885
104,273,3.5073,0.7693
105,722,4.1163,0.6128
106,33,4.4394,0.7882
107,34,3.9118,0.7535
108,76,3.9868,1.0893
109,127,3.2205,0.6891
110,51,3.7255,0.9398
111,646,3.3398,1.0709
112,65,3.5923,1.4681
113,150,3.6467,1.2269
114,31,3.4355,0.8826
115,112,3.7679,1.1777
116,87,3.4368,1.0751
117,165,3.3394,0.6198
118,22,3.8182,0.8528
119,215,4.1767,0.5649
120,22,3.4091,0.9591
121,58,3.2931,0.8379
122,292,4.5462,0.4926
123,56,4.0357,0.3675
124,50,3.99,0.836
125,360,3.8597,0.8024
126,38,3.2895,1.3337
127,22,3.1136,1.3622
128,33,4.3636,0.699
129,140,3.9214,0.6065
130,28,3.5357,0.8812
131,69,3.442,0.7099
132,347,3.0389,0.7711
133,35,3.0,0.686
134,35,3.5714,0.7391
135,279,3.6308,1.044
136,111,3.3153,1.2791
137,141,3.9787,0.7143
138,22,3.5227,1.5997
139,194,2.1443,0.8946
140,608,3.4992,0.8075
141,168,3.5387,0.7502
142,38,3.8158,0.766
143,71,3.3239,1.3285
144,128,3.6289,0.7078
145,23,3.3478,0.7751
146,32,3.1406,0.9857
147,20,3.375,1.4407
148,48,3.7396,0.6841
149,58,2.7241,1.2814
150,26,3.5769,0.7027
151,59,3.5424,0.8773
152,63,4.0238,0.6564
153,179,2.2179,1.432
154,34,4.3824,1.2064
155,46,3.6087,0.7142
156,398,3.6922,0.9193
157,21,3.4762,1.0305
158,26,3.4231,0.7306
159,97,3.2732,1.1815
160,437,2.7082,1.5463
161,39,3.8333,1.1317
162,38,4.2368,0.8198
163,23,3.0,0.6742
164,36,4.25,0.8742
165,65,3.5385,0.7305
166,190,4.0737,0.6443
167,173,3.4393,1.1325
168,94,4.4628,0.7304
169,269,4.2491,0.601
170,50,3.34,0.7174
171,82,4.6341,0.5986
172,26,3.8269,0.5467
173,25,3.48,0.9183
174,67,3.6567,0.9932
175,24,3.5417,1.6934
176,36,4.0556,0.86
177,904,3.3756,0.9592
178,77,4.0909,0.81
179,69,3.7826,0.7044
180,24,3.5625,0.7845
181,118,2.9407,0.9272
182,977,3.5113,1.0012
183,57,3.8246,0.8477
184,134,3.7052,1.0677
185,47,3.5319,0.929
186,226,4.0796,0.5757
187,258,3.7752,1.0419
188,48,4.3958,0.7646
189,20,4.1,0.3479
190,66,3.9091,0.7228
191,85,3.7412,1.4322
192,22,4.0455,0.7854
193,35,3.8,1.086
194,20,3.475,0.5955
195,187,3.5294,1.0333
196,32,3.9375,0.8776
197,35,3.8571,1.0612
198,230,3.4913,1.1812
199,363,3.3953,1.0212
200,334,3.8099,0.8386
201,110,4.1,0.9857
202,403,3.8189,0.736
203,45,3.8444,0.9875
204,83,3.9578,1.0627
205,27,3.8704,0.6444
206,25,4.04,0.8406
207,20,2.875,1.4589
208,26,3.3077,0.9703
209,35,4.2429,0.9024
210,138,4.0797,0.8613
211,89,3.9045,0.7829
212,248,3.5907,0.6077
213,84,3.8274,0.5677
214,22,2.8636,0.4676
215,98,3.9082,0.8626
216,164,3.6646,1.0108
217,613,2.7618,0.8738
218,26,3.3654,1.0446
219,528,3.1657,1.0918
220,207,3.9638,1.045
221,331,4.1269,0.7521
222,250,3.166,0.8259
223,75,3.2733,0.9942
224,54,4.2593,1.2467
225,75,3.6533,0.9794
226,507,3.4763,0.9118
227,94,4.2021,0.5201
228,25,3.74,0.694
229,65,3.7385,0.6909
230,139,2.8597,1.1099
231,24,3.8542,0.9496
232,862,3.2506,0.7604
233,150,3.3,0.7531
234,202,3.505,1.0709
235,65,3.6462,0.9088
236,30,3.9667,1.3515
237,50,3.36,0.7074
238,44,3.6818,0.8565
239,279,4.0269,0.7516
240,128,3.9141,0.9138
241,76,3.9803,0.6188
242,35,3.6,0.8471
243,36,4.1389,0.8333
244,93,3.7742,1.217
245,21,2.7143,0.9024
246,204,4.2525,0.7648
247,150,3.7467,0.8626
248,51,3.7451,0.6354
249,1046,3.6965,0.6727
250,27,4.2222,1.0127
251,23,4.8696,0.5269
252,38,4.1974,0.621
253,47,4.3511,0.6587
254,127,3.9803,0.8052
255,44,2.5682,1.5004
256,174,3.9454,0.6998
257,20,3.2,1.0052
258,25,4.2,1.307
259,29,3.1207,1.7457
260,152,3.7599,0.8877
261,53,3.8585,1.1067
262,57,3.1053,0.9578
263,210,3.7167,0.7838
264,56,3.5625,1.0048
265,163,3.3497,0.9265
266,180,3.5,1.428
267,57,4.1754,1.1358
268,129,3.2713,1.2732
269,29,3.6207,0.8625
270,40,3.2,1.181
271,43,3.186,0.7402
272,31,3.629,0.7067
273,55,4.0,0.9813
274,1346,3.2359,0.7617
275,403,4.0868,1.072
276,41,4.3902,0.7028
277,28,3.5714,0.7418
278,20,3.875,0.9851
279,176,3.6477,0.8269
280,196,3.9005,0.7453
281,21,3.2143,0.9024
282,237,4.0338,0.6942
283,35,3.3143,1.0784
284,88,3.7159,0.9091
285,36,3.9583,0.9287
286,106,3.7877,0.9257
287,152,2.6217,1.4928
288,1055,3.146,0.8666
289,24,3.625,0.7261
290,267,4.1423,0.6844
291,31,4.2581,0.8932
292,446,3.3016,0.92
293,21,2.619,0.74
294,437,2.611,1.1769
295,41,3.7439,1.488
296,27,4.1667,1.3156
297,72,2.5972,1.2855
298,939,2.3637,1.0824
299,23,3.6522,0.7751
300,32,4.2969,0.6582
301,114,3.3202,1.2177
302,32,4.0,0.9158
303,53,3.9057,1.038
304,216,3.8704,0.9654
305,677,3.9247,0.918
306,112,3.317,0.729
307,975,2.6656,1.0967
308,115,2.4261,1.4989
309,103,3.8398,0.802
310,64,3.5312,1.3884
311,28,2.3393,1.2624
312,223,3.7085,0.8649
313,340,3.4324,1.2521
314,128,3.0469,0.9037
315,33,3.3636,0.8223
316,53,3.0,0.7721
317,189,3.7302,0.9926
318,879,3.756,0.5446
319,35,4.4286,0.5443
320,20,3.525,0.786
321,56,3.5714,0.6838
322,107,3.4112,0.9611
323,98,3.1735,0.7998
324,21,3.1429,1.2364
325,270,3.5444,0.9226
326,152,4.0164,0.8941
327,48,4.1042,0.9394
328,255,3.2255,1.2577
329,23,2.8696,1.7465
330,247,3.6903,1.0507
331,168,3.628,1.0439
332,267,3.5993,0.7127
333,25,2.64,1.2543
334,154,3.4188,0.5467
335,28,3.6786,1.2781
336,56,4.3214,0.6497
337,77,4.2078,0.8003
338,39,2.9359,1.4964
339,371,4.0701,0.7626
340,28,4.2143,0.6862
341,52,3.7981,0.6512
342,66,2.9394,0.8572
343,59,4.0593,0.8664
344,69,3.7681,1.3077
345,62,3.9032,0.7003
346,164,3.6829,0.6761
347,45,3.5556,0.586
348,55,4.6727,0.4327
349,37,3.7297,0.8045
350,40,3.25,0.5883
351,141,3.6667,0.6726
352,294,3.7806,0.8784
353,90,3.4889,1.0835
354,226,3.7345,0.5718
355,26,3.8846,0.7656
356,289,4.0208,0.7439
357,383,3.9569,0.7136
358,41,3.2561,1.441
359,74,3.4189,0.9617
360,25,3.36,1.5242
361,97,3.1804,0.8785
362,109,4.2431,0.5595
363,30,3.3,1.0137
364,21,4.1905,0.8136
365,277,2.7509,1.0798
366,31,3.9516,0.6874
367,185,3.8595,1.0943
368,469,2.8422,0.8221
369,129,3.3915,0.6845
370,93,3.5484,0.8145
371,41,4.5488,0.5339
372,236,3.3559,1.0316
373,100,3.19,1.3536
374,33,3.6364,0.8951
375,33,3.9091,1.1212
376,133,4.0639,0.7396
377,131,3.9122,0.925
378,48,4.0,0.6102
379,36,3.3889,0.9936
380,1218,3.6732,0.961
381,474,3.5422,0.8555
382,291,3.5086,1.1253
383,34,3.7941,0.9779
384,70,3.0857,1.2008
385,201,3.403,0.8785
386,68,2.75,0.8703
387,1027,3.2585,0.8593
388,29,3.6207,1.2222
389,34,4.1176,0.8444
390,81,3.8395,1.015
391,386,3.715,1.1872
392,25,3.2,1.2583
393,123,3.8415,1.6225
394,23,2.9565,1.0215
395,61,3.0492,0.8252
396,28,3.1429,1.4584
397,23,3.9565,0.8245
398,46,4.25,0.9531
399,36,3.9444,1.3135
400,43,4.5116,0.5925
401,72,3.5278,0.5986
402,48,3.8542,0.8503
403,34,3.7647,0.7904
404,60,3.4,0.494
405,120,4.0083,0.4583
406,20,3.25,1.3229
407,22,4.1136,0.8582
408,141,4.0922,0.6985
409,126,3.8413,1.0985
410,167,4.0599,0.8338
411,127,3.2598,0.9362
412,102,3.8922,1.08
413,56,4.4107,1.2653
414,2698,3.392,0.9333
415,94,4.0851,0.6584
416,51,3.0686,1.4319
417,67,4.4627,0.7246
418,93,3.6398,1.5097
419,155,3.8032,1.0622
420,141,3.8227,0.5482
421,37,4.1081,0.9364
422,93,3.3226,1.0649
423,23,3.7174,1.3637
424,138,3.6739,0.8684
425,306,3.5327,0.5361
426,88,3.6818,1.2134
427,84,3.1012,1.0378
428,300,2.64,1.0035
429,58,3.9828,0.827
430,58,3.7414,1.044
431,20,2.725,1.2083
432,260,3.6462,0.8586
433,22,3.7727,0.9847
434,233,3.7811,1.0357
435,42,4.3214,0.5502
436,106,3.1792,0.7534
437,122,3.8033,0.9929
438,635,3.3551,0.8666
439,21,4.119,0.7567
440,33,3.8939,0.6093
441,45,4.5222,0.7757
442,20,1.275,0.6973
443,37,4.1216,0.845
444,42,3.8095,0.917
445,77,3.8571,0.9136
446,84,3.2143,0.9193
447,78,3.8718,0.7954
448,1864,2.8474,1.0297
449,38,3.2895,1.082
450,51,4.0,0.7483
451,34,3.7941,0.9464
452,202,4.5569,0.6051
453,311,3.9421,0.9886
454,45,3.7667,0.7119
455,57,3.4561,0.7089
456,43,3.814,0.8523
457,50,3.46,1.1817
458,59,4.1525,0.8869
459,26,4.3462,0.7179
460,82,4.2012,0.652
461,27,2.9444,1.7939
462,455,3.4066,1.1074
463,33,3.7879,0.6499
464,138,3.7536,1.0862
465,115,4.1565,0.7326
466,113,3.9292,0.6473
467,22,3.4091,1.4362
468,33,3.3939,0.9663
469,465,3.6731,1.0153
470,80,3.5125,0.6749
471,28,3.875,0.7653
472,29,4.1207,0.852
473,37,3.4189,1.0962
474,2108,3.399,0.8308
475,155,4.4097,0.4983
476,69,3.6812,0.7375
477,600,3.7367,0.928
478,22,2.8182,1.0751
479,181,3.3204,1.1912
480,836,3.2751,1.0498
481,31,2.8065,1.0139
482,128,3.4062,1.1718
483,728,3.6188,0.96
484,275,3.8145,0.8372
485,23,3.8696,1.3586
486,56,4.0179,0.9815
487,56,3.1429,0.9663
488,111,3.8829,1.0465
489,648,3.0177,1.1986
490,113,3.1593,0.8871
491,64,4.1562,0.7176
492,121,3.8678,0.8159
493,61,3.6885,1.0884
494,22,4.2273,1.1925
495,265,4.0094,1.1468
496,29,3.4138,1.0095
497,51,3.5686,1.0955
498,35,4.0571,1.0274
499,27,3.8333,1.1351
500,86,3.2442,1.3367
501,45,3.2,0.9677
502,35,3.4286,1.6853
503,95,3.3421,1.0898
504,87,3.8218,0.5954
505,31,4.1774,0.9269
506,42,3.2619,1.1595
507,21,3.381,0.669
508,24,2.1458,1.0579
509,467,3.2163,0.6779
510,108,2.9028,1.167
511,52,4.125,0.5847
512,50,3.78,0.91
513,32,3.8906,0.8399
514,397,3.3111,0.9499
515,26,4.8462,0.3397
516,26,3.6923,0.8376
517,400,2.3862,1.3476
518,24,3.5417,1.188
519,26,4.3269,0.692
520,186,3.8817,0.8184
521,40,3.6,0.5905
522,200,3.83,1.0627
523,75,4.6933,0.4494
524,131,3.458,1.076
525,500,3.542,0.7296
526,58,4.1897,0.6057
527,167,4.1198,0.9366
528,73,3.4726,1.2663
529,25,3.2,1.1902
530,27,3.7778,0.8006
531,22,3.7727,1.1098
532,50,4.28,0.7835
533,38,4.3816,0.8006
534,520,3.8048,0.6764
535,30,2.6667,1.4933
536,40,3.4,1.355
537,47,4.0638,1.1685
538,37,4.473,0.5886
539,38,3.8026,1.0368
540,42,4.0,0.8264
541,87,3.3908,1.0822
542,113,3.5088,1.3413
543,76,4.4539,1.294
544,22,4.3636,0.9535
545,23,3.3696,0.8819
546,64,3.4375,1.2068
547,21,4.1429,0.9636
548,26,4.0962,1.049
549,21,3.6667,1.3994
550,28,4.1071,0.8537
551,123,3.7154,0.9257
552,188,3.1197,1.1104
553,83,4.3373,0.6444
554,89,4.0,1.2703
555,578,3.455,1.0867
556,32,4.0781,0.5097
557,27,3.8519,1.0173
558,56,3.9286,1.0763
559,140,3.2857,0.8674
560,458,3.5677,0.5718
561,505,3.3723,0.8487
562,231,4.0931,0.6765
563,213,3.3005,0.7097
564,157,3.5796,0.8076
565,29,3.6552,0.8567
566,74,3.5405,1.0229
567,385,2.2455,1.2211
568,23,4.1304,0.8689
569,20,4.0,0.7255
570,191,3.4162,0.6616
571,112,2.5714,1.1985
572,155,4.1226,1.0403
573,299,4.2124,0.9724
574,23,3.9565,0.9283
575,36,3.1667,1.2071
576,20,3.1,1.3917
577,161,3.5652,0.8572
578,27,3.963,1.1174
579,73,3.9726,0.957
580,436,3.5298,1.044
581,40,4.375,0.477
582,56,4.0268,0.6703
583,56,3.2946,0.8078
584,83,4.1084,1.1044
585,61,4.3361,0.5825
586,208,4.3654,0.6206
587,165,3.9758,0.917
588,56,3.25,1.066
589,40,4.025,0.9737
590,728,3.3558,0.8342
591,54,3.2778,1.1561
592,94,3.5851,0.999
593,103,3.267,1.091
594,232,3.9246,1.3587
595,20,4.2,0.8335
596,411,3.4951,0.6879
597,443,3.9774,1.0483
598,21,3.8095,1.6843
599,2478,2.6421,0.8153
600,763,2.9915,1.0723
601,101,4.4257,0.4549
602,135,3.3926,0.9781
603,943,3.508,1.1536
604,100,3.48,0.7451
605,221,3.2104,0.8187
606,1115,3.6574,0.7241
607,187,3.7861,0.9657
608,831,3.1342,1.0793
609,37,3.2703,0.4502
610,1302,3.6886,0.8574
